,Ensembl transcript ID,SL with MS evidence
856,ENST00000440274,c
857,ENST00000564688,c
858,ENST00000222286,c
859,ENST00000222286,c
860,ENST00000003100,m
861,ENST00000003100,m
862,ENST00000003100,m
863,ENST00000003100,m
864,ENST00000492597,c
865,ENST00000492597,c
866,ENST00000492597,c
867,ENST00000492597,c
868,ENST00000492597,c
869,ENST00000492597,c
870,ENST00000340385,c
871,ENST00000492795,m
872,ENST00000492795,m
873,ENST00000580900,c
874,ENST00000262554,c
875,ENST00000261206,m
876,ENST00000370834,m
877,ENST00000281243,c
878,ENST00000281243,c
879,ENST00000538118,c
880,ENST00000607784,c
881,ENST00000607784,c
882,ENST00000607784,c
883,ENST00000426324,c
884,ENST00000472047,c
885,ENST00000335181,c
886,ENST00000234590,c
887,ENST00000361505,c
888,ENST00000361505,c
889,ENST00000301810,m
890,ENST00000249042,m
891,ENST00000249042,c
892,ENST00000354098,c
893,ENST00000545162,m
894,ENST00000429002,c
895,ENST00000329875,c
896,ENST00000329875,c
897,ENST00000619528,c
898,ENST00000612651,c
899,ENST00000612651,c
900,ENST00000541669,c
901,ENST00000368845,m
902,ENST00000537919,c
903,ENST00000520227,m
904,ENST00000520221,c
905,ENST00000563060,c
906,ENST00000563060,m
907,ENST00000539986,c
908,ENST00000374830,c
909,ENST00000637633,c
910,ENST00000565184,c
911,ENST00000370508,c
912,ENST00000423525,c
913,ENST00000564595,m
914,ENST00000564595,c
915,ENST00000397032,n
916,ENST00000305784,m
917,ENST00000564178,c
918,ENST00000298556,c
919,ENST00000409476,c
920,ENST00000229239,c
921,ENST00000229239,c
922,ENST00000505689,c
923,ENST00000375298,c
924,ENST00000375298,c
925,ENST00000575051,c
926,ENST00000506179,c
927,ENST00000380746,c
928,ENST00000563655,c
929,ENST00000577756,c
930,ENST00000577756,c
931,ENST00000524826,m
932,ENST00000524826,m
933,ENST00000543262,m
934,ENST00000543262,m
935,ENST00000588479,c
936,ENST00000538771,c
937,ENST00000538771,c
938,ENST00000319006,c
939,ENST00000589432,c
940,ENST00000467076,c
941,ENST00000467076,c
942,ENST00000382873,m
943,ENST00000607886,c
944,ENST00000262746,c
945,ENST00000256108,c
946,ENST00000490911,c
947,ENST00000617649,c
948,ENST00000617649,c
949,ENST00000522798,c
950,ENST00000380172,c
951,ENST00000522249,c
952,ENST00000540288,c
953,ENST00000543090,c
954,ENST00000403312,m
955,ENST00000409804,m
956,ENST00000409804,m
957,ENST00000488245,c
958,ENST00000545822,m
959,ENST00000432309,c
960,ENST00000396075,c
961,ENST00000396075,c
962,ENST00000244007,c
963,ENST00000393868,m
964,ENST00000634990,c
965,ENST00000634990,c
966,ENST00000634990,c
967,ENST00000634990,c
968,ENST00000634990,c
969,ENST00000634990,c
970,ENST00000634990,c
971,ENST00000254759,m
972,ENST00000254759,m
973,ENST00000254759,m
974,ENST00000566379,c
975,ENST00000373271,c
976,ENST00000337404,m
977,ENST00000525777,c
978,ENST00000525777,c
979,ENST00000525777,c
980,ENST00000222553,c
981,ENST00000426819,c
982,ENST00000348956,c
983,ENST00000578963,c
984,ENST00000367054,m
985,ENST00000352210,c
986,ENST00000576864,c
987,ENST00000485460,m
988,ENST00000485460,c
989,ENST00000542179,c
990,ENST00000584086,c
991,ENST00000540499,c
992,ENST00000540499,c
993,ENST00000540499,c
994,ENST00000610757,c
995,ENST00000393183,c
996,ENST00000393324,m
997,ENST00000393324,m
998,ENST00000366535,c
999,ENST00000372393,c
1000,ENST00000372394,c
1001,ENST00000409626,c
1002,ENST00000534716,c
1003,ENST00000447184,c
1004,ENST00000380118,m
1005,ENST00000628663,c
1006,ENST00000342312,c
1007,ENST00000342312,c
